@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute cubeMode {0,1,2,3,4,5,6,7}
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
323,'2019/04/06 15:23:15:404',82,131,144,173,79,?,1,?,?,?
324,'2019/04/06 15:23:15:494',82,131,144,171,79,?,1,?,?,?
325,'2019/04/06 15:23:15:584',82,133,144,173,77,?,1,?,?,?
328,'2019/04/06 15:24:36:552',84,-28,13,9,-28,?,?,?,0,?
329,'2019/04/06 15:24:36:672',84,-27,15,11,-23,?,?,?,0,?
330,'2019/04/06 15:24:39:582',85,38,69,92,36,?,?,?,0.43,?
331,'2019/04/06 15:24:39:672',85,54,73,119,46,?,?,?,0.43,?
332,'2019/04/06 15:24:39:777',85,55,75,119,46,?,?,?,0.43,?
333,'2019/04/06 15:24:39:897',85,50,77,133,52,?,?,?,0.43,?
334,'2019/04/06 15:24:43:272',86,115,154,189,81,?,?,?,1,?
335,'2019/04/06 15:24:43:332',86,117,150,193,77,?,?,?,1,?
336,'2019/04/06 15:24:43:422',86,113,152,189,81,?,?,?,1,?
337,'2019/04/06 15:24:57:071',87,42,69,55,9,?,?,?,0.2,?
338,'2019/04/06 15:24:57:161',87,42,69,55,3,?,?,?,0.2,?
339,'2019/04/06 15:25:18:851',88,83,81,94,48,?,?,?,0.69,?
340,'2019/04/06 15:25:18:971',88,81,86,98,48,?,?,?,0.69,?
341,'2019/04/06 15:25:19:046',88,79,84,94,46,?,?,?,0.69,?
342,'2019/04/06 15:25:32:711',89,104,144,208,98,?,?,?,1,?
343,'2019/04/06 15:25:32:801',89,106,148,206,98,?,?,?,1,?
344,'2019/04/06 15:25:32:936',89,104,146,210,98,?,?,?,1,?
345,'2019/04/06 15:25:55:311',90,83,96,96,50,?,?,?,0.75,?
346,'2019/04/06 15:25:55:435',90,83,94,92,52,?,?,?,0.75,?
347,'2019/04/06 15:25:55:525',90,79,94,96,52,?,?,?,0.75,?
348,'2019/04/06 15:25:55:645',90,86,96,98,50,?,?,?,0.75,?
349,'2019/04/06 15:26:32:934',91,-9,34,34,-9,?,?,?,?,0
350,'2019/04/06 15:26:33:024',91,-13,34,34,-11,?,?,?,?,0
351,'2019/04/06 15:26:33:129',91,-11,34,30,-11,?,?,?,?,0
352,'2019/04/06 15:26:33:219',91,-15,34,34,-9,?,?,?,?,0
353,'2019/04/06 15:26:37:914',92,50,77,102,32,?,?,?,?,0.52
354,'2019/04/06 15:26:38:004',92,50,81,104,34,?,?,?,?,0.52
355,'2019/04/06 15:26:38:124',92,54,81,111,42,?,?,?,?,0.52
356,'2019/04/06 15:26:38:229',92,48,81,113,44,?,?,?,?,0.52
357,'2019/04/06 15:26:42:804',93,121,162,206,90,?,?,?,?,1
358,'2019/04/06 15:26:42:969',93,121,158,208,88,?,?,?,?,1
359,'2019/04/06 15:26:43:014',93,121,160,206,90,?,?,?,?,1
360,'2019/04/06 15:27:00:369',94,69,86,69,11,?,?,?,?,0.21
361,'2019/04/06 15:27:00:413',94,73,84,67,9,?,?,?,?,0.21
362,'2019/04/06 15:27:00:518',94,75,84,71,5,?,?,?,?,0.21
363,'2019/04/06 15:27:00:669',94,75,84,69,13,?,?,?,?,0.21
364,'2019/04/06 15:27:05:123',95,77,102,135,55,?,?,?,?,0.78
365,'2019/04/06 15:27:05:213',95,75,104,137,55,?,?,?,?,0.78
366,'2019/04/06 15:27:05:333',95,77,104,133,57,?,?,?,?,0.78
367,'2019/04/06 15:27:18:968',96,104,154,198,96,?,?,?,?,0.990579
368,'2019/04/06 15:27:19:088',96,106,150,196,96,?,?,?,?,0.990579
369,'2019/04/06 15:27:33:668',97,90,127,146,54,?,?,?,?,0.74
370,'2019/04/06 15:27:33:788',97,92,127,146,55,?,?,?,?,0.74
371,'2019/04/06 15:27:33:893',97,94,123,146,54,?,?,?,?,0.74
